year,home_team,away_team,match_result,draws_last_4y_difference,fifa_points_pre_tournament_difference,fifa_rank_pre_tournament_difference,finalist_difference,finals_before_difference,goals_received_last_4y_difference,goals_scored_last_4y_difference,groups_passed_before_difference,is_host_difference,losses_last_4y_difference,quarter_finalist_difference,quarterfinals_before_difference,round16_before_difference,semi_finalist_difference,semifinals_before_difference,squad_avg_age_difference,squad_total_market_value_eur_difference,winner_difference,wins_last_4y_difference,world_cup_participations_before_difference,world_cup_titles_before_difference,fifa_points_pre_tournament_ratio,goals_scored_last_4y_ratio,goals_received_last_4y_ratio,wins_last_4y_ratio,squad_avg_age_ratio,host_difference
2022,Uruguay,Korea Republic,Draw,0,108.41000000000008,-14,0,1,4,-32,8,0,5,0,5,3,0,3,0.0,285220000.0,0,-14,3,2,1.0708423184996407,0.6631578947368421,1.105263157894737,0.5882352941176471,1.0,0
2022,Portugal,Ghana,Home Win,0,283.55999999999995,-52,0,0,1,64,2,0,-3,1,1,1,0,2,2.1000000000000014,720100000.0,0,14,4,0,1.2035606604450826,2.4545454545454546,1.0303030303030303,1.875,1.0850202429149798,0
2022,Brazil,Serbia,Home Win,-5,277.68000000000006,-20,0,6,-32,23,12,0,-4,1,10,9,0,8,1.0999999999999979,780500000.0,0,12,9,5,1.1775879049897033,1.2613636363636365,0.37254901960784315,1.48,1.0410447761194028,0
2022,Morocco,Croatia,Draw,1,-82.1400000000001,10,0,-1,-34,7,-1,0,-8,0,-2,-1,0,-2,-1.1999999999999993,-135900000.0,0,8,0,0,0.9500862886171945,1.0853658536585367,0.46875,1.3333333333333333,0.9562043795620438,0
2022,Germany,Japan,Away Win,7,90.67000000000007,-13,0,8,17,-7,15,0,-3,0,16,7,0,13,-1.1000000000000014,731500000.0,0,-13,13,4,1.0581389384049142,0.9448818897637795,1.425,0.6666666666666666,0.9604316546762589,0
2022,Spain,Costa Rica,Home Win,0,211.6300000000001,-24,0,1,-20,60,8,0,-14,0,4,6,0,1,-1.8999999999999986,858250000.0,0,11,10,1,1.1407498054655858,2.090909090909091,0.6551724137931034,1.55,0.9301470588235294,0
2022,Belgium,Canada,Home Win,2,341.71000000000004,-39,0,0,11,3,9,0,-2,0,3,8,0,2,0.9000000000000021,375900000.0,0,4,12,0,1.2316677966101695,1.0238095238095237,1.3235294117647058,1.1290322580645162,1.033457249070632,0
2022,Argentina,Saudi Arabia,Away Win,-4,336.10000000000014,-48,1,5,-17,30,13,0,-11,1,9,8,1,5,0.5,620000000.0,1,9,12,2,1.2337631626535355,1.4411764705882353,0.6136363636363636,1.375,1.0183150183150182,0
2022,Denmark,Tunisia,Draw,-1,159.02999999999997,-20,0,0,0,24,4,0,-4,0,1,4,0,0,-0.6000000000000014,290600000.0,0,-2,0,0,1.105489738249068,1.2857142857142858,1.0,0.9393939393939394,0.9784172661870503,0
2022,Mexico,Poland,Draw,1,96.30000000000018,-13,0,0,11,32,4,0,2,0,0,6,0,-2,1.5,-79500000.0,0,17,8,0,1.06218560109519,1.3855421686746987,1.2075471698113207,1.7727272727272727,1.0555555555555556,0
